"submitNm","distur","siteId","plotId","fireYr","year","cntryId","lastNm","lat","lon","biome","fireId","paired","gtProde","hitRock","orgDepth","srfH2O","topoPos","slope","vegCvr","tsf","tsfClass","estDoy","estDepth","n"
"Baillargeon","burned","a","15B1-T3-18",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",77,1
"Baillargeon","burned","a","15B1-T3-18",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",125,1
"Baillargeon","burned","a","15B1-T3-19",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",77,1
"Baillargeon","burned","a","15B1-T3-19",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",110,1
"Baillargeon","burned","a","15B1-T3-2",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",73,1
"Baillargeon","burned","a","15B1-T3-20",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",82,1
"Baillargeon","burned","a","15B1-T3-20",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",102,1
"Baillargeon","burned","a","15B1-T3-21",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",80,1
"Baillargeon","burned","a","15B1-T3-21",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",72,1
"Baillargeon","burned","a","15B1-T3-22",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",83,1
"Baillargeon","burned","a","15B1-T3-22",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",59,1
"Baillargeon","burned","a","15B1-T3-23",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",75,1
"Baillargeon","burned","a","15B1-T3-23",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",67,1
"Baillargeon","burned","a","15B1-T3-24",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",73,1
"Baillargeon","burned","a","15B1-T3-24",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",59,1
"Baillargeon","burned","a","15B1-T3-25",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",65,1
"Baillargeon","burned","a","15B1-T3-25",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",53,1
"Baillargeon","burned","a","15B1-T3-26",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",78,1
"Baillargeon","burned","a","15B1-T3-26",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",75,1
"Baillargeon","burned","a","15B1-T3-27",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",81,1
"Baillargeon","burned","a","15B1-T3-27",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",105,1
"Baillargeon","burned","a","15B1-T3-28",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",73,1
"Baillargeon","burned","a","15B1-T3-28",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",54,1
